               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.015109,           0.0044516,          0.00073398,             0.99615,                   1,               0.995,             0.93734,           0.0022838,           0.0012595,          9.8372e-05,            0.001618,            0.001618,            0.001618
                 129,            0.014195,           0.0043388,          0.00088223,             0.99604,             0.99957,               0.995,             0.94571,           0.0022214,            0.001242,          9.6695e-05,            0.001552,            0.001552,            0.001552
                 130,            0.013508,           0.0046729,          0.00056432,             0.99612,             0.99951,               0.995,             0.95879,           0.0021849,            0.001239,           9.566e-05,            0.001486,            0.001486,            0.001486
                 131,            0.014522,           0.0044656,           0.0011083,              0.9966,                   1,               0.995,             0.95282,           0.0020056,           0.0012011,          9.4935e-05,             0.00142,             0.00142,             0.00142
                 132,            0.014131,           0.0047898,          0.00079789,             0.99678,                   1,               0.995,              0.9531,           0.0020111,           0.0012057,          9.2186e-05,            0.001354,            0.001354,            0.001354
                 133,            0.013795,           0.0044939,           0.0011625,             0.99707,                   1,               0.995,             0.96021,           0.0019932,           0.0012176,          8.9866e-05,            0.001288,            0.001288,            0.001288
                 134,            0.016233,           0.0046399,           0.0013602,             0.99719,                   1,               0.995,              0.9607,           0.0020127,            0.001208,          8.5476e-05,            0.001222,            0.001222,            0.001222
                 135,            0.013019,           0.0047371,          0.00063471,             0.99721,                   1,               0.995,             0.96224,           0.0019669,           0.0012164,           8.171e-05,            0.001156,            0.001156,            0.001156
                 136,            0.013199,           0.0047082,          0.00070019,             0.99731,                   1,               0.995,             0.95748,           0.0019758,           0.0012062,           8.072e-05,             0.00109,             0.00109,             0.00109
                 137,            0.012308,           0.0043814,          0.00057551,             0.99699,                   1,               0.995,             0.95785,           0.0019462,           0.0012072,          7.8756e-05,            0.001024,            0.001024,            0.001024
                 138,            0.011559,           0.0046316,          0.00053935,             0.99709,                   1,               0.995,             0.95729,           0.0019828,           0.0012296,          7.7811e-05,            0.000958,            0.000958,            0.000958
                 139,            0.012481,           0.0044175,          0.00075689,             0.99709,                   1,               0.995,             0.95963,           0.0019317,           0.0012177,          7.5834e-05,            0.000892,            0.000892,            0.000892
                 140,            0.012205,           0.0042164,          0.00062314,             0.99703,                   1,               0.995,             0.96067,           0.0019169,            0.001187,           7.298e-05,            0.000826,            0.000826,            0.000826
                 141,            0.011679,           0.0042699,          0.00053305,             0.99719,                   1,               0.995,             0.96457,           0.0018973,           0.0011824,          7.0052e-05,             0.00076,             0.00076,             0.00076
                 142,            0.013791,           0.0042369,          0.00092568,             0.99724,                   1,               0.995,             0.96096,           0.0019947,           0.0011723,          6.6221e-05,            0.000694,            0.000694,            0.000694
                 143,            0.010864,           0.0045001,          0.00055034,             0.99721,                   1,               0.995,             0.95993,           0.0019427,            0.001168,          6.4721e-05,            0.000628,            0.000628,            0.000628
                 144,             0.01271,           0.0042705,          0.00057098,             0.99737,                   1,               0.995,             0.96362,           0.0019227,           0.0011916,          6.2645e-05,            0.000562,            0.000562,            0.000562
                 145,            0.012149,           0.0044776,          0.00074138,             0.99742,                   1,               0.995,             0.95246,           0.0020618,            0.001212,          6.1161e-05,            0.000496,            0.000496,            0.000496
                 146,            0.012078,           0.0045076,          0.00056004,             0.99736,                   1,               0.995,              0.9607,           0.0019387,           0.0011898,          6.0646e-05,             0.00043,             0.00043,             0.00043
                 147,            0.012365,            0.004457,          0.00065161,             0.99727,                   1,               0.995,             0.95964,           0.0019344,           0.0011757,          6.0791e-05,            0.000364,            0.000364,            0.000364
                 148,            0.011377,           0.0043768,          0.00064834,             0.99737,                   1,               0.995,              0.9641,           0.0019022,           0.0011663,          6.0126e-05,            0.000298,            0.000298,            0.000298
                 149,            0.012957,           0.0042709,          0.00071636,             0.99737,                   1,               0.995,             0.96127,           0.0019057,           0.0011688,          5.9209e-05,            0.000232,            0.000232,            0.000232
