               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.026479,            0.009891,           0.0018847,              0.9877,             0.99722,             0.99491,             0.74877,            0.026574,           0.0031041,           0.0010615,             0.00406,             0.00406,             0.00406
                  92,            0.026693,           0.0097159,           0.0019354,             0.99751,                   1,               0.995,             0.78599,            0.021484,           0.0029653,           0.0010577,            0.003994,            0.003994,            0.003994
                  93,            0.024461,           0.0099153,           0.0018285,             0.98228,                   1,               0.995,             0.73163,            0.024682,           0.0029477,           0.0010271,            0.003928,            0.003928,            0.003928
                  94,            0.024933,           0.0095596,           0.0016832,             0.99416,                   1,               0.995,             0.76493,            0.022112,           0.0029071,           0.0009876,            0.003862,            0.003862,            0.003862
                  95,            0.026564,           0.0091297,           0.0015649,             0.99742,                   1,               0.995,             0.77362,            0.023523,           0.0029099,          0.00095566,            0.003796,            0.003796,            0.003796
                  96,            0.025702,           0.0097643,           0.0017507,             0.99794,                   1,               0.995,             0.78963,            0.020791,           0.0028456,          0.00094144,             0.00373,             0.00373,             0.00373
                  97,            0.025617,           0.0088327,           0.0016151,             0.99813,                   1,               0.995,             0.75223,            0.021105,           0.0028855,          0.00090285,            0.003664,            0.003664,            0.003664
                  98,            0.025072,           0.0095909,           0.0013285,             0.98907,                   1,             0.99491,             0.77482,             0.02365,            0.002918,          0.00085804,            0.003598,            0.003598,            0.003598
                  99,            0.026816,           0.0094254,            0.001574,             0.99822,                   1,               0.995,             0.80067,            0.021971,           0.0028868,          0.00082625,            0.003532,            0.003532,            0.003532
                 100,            0.025209,           0.0094706,           0.0019471,             0.99806,                   1,               0.995,             0.79906,             0.02064,           0.0028133,          0.00082017,            0.003466,            0.003466,            0.003466
                 101,            0.023684,           0.0088244,           0.0019229,             0.99825,                   1,               0.995,              0.7707,            0.024222,           0.0028817,          0.00077729,              0.0034,              0.0034,              0.0034
                 102,            0.023921,           0.0089911,           0.0011385,              0.9975,                   1,               0.995,             0.79816,            0.020111,           0.0027502,          0.00077317,            0.003334,            0.003334,            0.003334
                 103,            0.024393,           0.0095535,           0.0022457,             0.99789,                   1,               0.995,             0.79783,            0.019776,             0.00273,          0.00076164,            0.003268,            0.003268,            0.003268
                 104,            0.024294,           0.0087347,           0.0011144,             0.99854,                   1,               0.995,             0.77625,            0.020457,           0.0027328,          0.00076228,            0.003202,            0.003202,            0.003202
                 105,            0.023409,           0.0093944,           0.0015257,             0.99481,                   1,               0.995,             0.79837,            0.019465,           0.0027248,          0.00076213,            0.003136,            0.003136,            0.003136
                 106,            0.023168,           0.0084376,           0.0013741,             0.99821,                   1,               0.995,               0.769,            0.021711,           0.0027615,          0.00074132,             0.00307,             0.00307,             0.00307
                 107,            0.025326,           0.0097476,           0.0011343,             0.99645,                   1,               0.995,             0.76384,            0.023854,           0.0027849,          0.00073201,            0.003004,            0.003004,            0.003004
                 108,              0.0245,           0.0089412,           0.0010919,             0.99538,                   1,               0.995,             0.81373,            0.019841,           0.0026816,          0.00075008,            0.002938,            0.002938,            0.002938
                 109,            0.023235,             0.00874,           0.0011203,             0.99674,                   1,               0.995,             0.80563,            0.019193,           0.0026603,           0.0007679,            0.002872,            0.002872,            0.002872
                 110,            0.024399,           0.0089461,           0.0012728,             0.99687,                   1,               0.995,             0.77478,            0.022573,           0.0027241,          0.00073932,            0.002806,            0.002806,            0.002806
                 111,            0.023125,           0.0091624,           0.0016681,             0.99591,                   1,               0.995,             0.80297,            0.019534,           0.0026914,          0.00075304,             0.00274,             0.00274,             0.00274
                 112,            0.024019,           0.0093994,            0.001082,             0.99615,                   1,               0.995,             0.81407,             0.01831,           0.0026707,          0.00074689,            0.002674,            0.002674,            0.002674
                 113,            0.021317,           0.0092152,          0.00087768,             0.99589,                   1,               0.995,              0.7956,            0.021666,           0.0027612,          0.00075062,            0.002608,            0.002608,            0.002608
                 114,            0.022917,           0.0090129,           0.0015631,             0.98021,                   1,               0.995,             0.81952,            0.019826,           0.0027147,           0.0007385,            0.002542,            0.002542,            0.002542
                 115,            0.022778,             0.00913,           0.0013338,              0.9965,                   1,               0.995,             0.79587,            0.018876,           0.0026633,          0.00071842,            0.002476,            0.002476,            0.002476
                 116,            0.021763,           0.0095337,           0.0011225,             0.99668,                   1,               0.995,              0.7964,            0.018856,           0.0026256,          0.00071018,             0.00241,             0.00241,             0.00241
                 117,            0.021761,           0.0093529,           0.0009847,             0.99683,                   1,               0.995,             0.78239,            0.020083,           0.0026378,          0.00068747,            0.002344,            0.002344,            0.002344
